UniqueCount	AmbigCount
56	0
0	26
1	24
0	0
41	0
269	0
54	2
35	0
59	0
196	40
66	0
60	0
30	0
160	0
218	0
3	10
48	126
130	82
307	0
1149	0
91	0
1342	0
123	915
87	4
90	0
227	0
404	0
522	0
73	0
36	0
238	0
450	22
106	0
489	0
61	92
552	0
207	0
298	0
89	0
73	104
0	0
189	74
302	43
0	0
68	0
891	0
441	0
389	2
124	0
219	0
225	135
1	0
231	0
109	0
248	0
72	0
349	0
9	0
44	29
46	0
173	30
22	0
202	0
5	0
493	0
41	10
0	10
60	0
207	0
17	0
23	18
1732	132
194	0
150	0
75	0
119	0
5	6
144	0
68	0
39	0
19	0
120	0
71	0
1577	234
378	0
38	0
166	0
314	0
87	0
259	1551
133	0
53	8
116	0
862	29
65	0
20	0
2098	0
70	39
0	4
384	0
2	0
95	0
166	0
205	0
130	0
45	0
118	0
39	0
27	0
56	0
55	0
137	0
200	0
1301	2221
1	0
115	0
71	0
77	0
132	0
19	8
3	0
59	0
41	0
339	0
31	6
43	0
9	0
8	0
1794	0
71	0
18	0
0	3
65	0
114	0
40	0
59	2186
100	0
0	33
65	0
70	0
207	0
41	0
0	5007
102	0
15	0
49	0
131	24
107	0
117	0
4	0
178	12
42	12
58	0
23	515
479	0
106	0
6	0
54	0
129	0
1	0
80	0
428	0
45	0
47	0
97	0
16	8
906	0
169	0
29	431
34	0
237	0
0	15
59	0
51	0
193	293
93	0
149	1
64	0
298	0
2	0
198	0
7	79
0	5643
416	0
220	0
41	0
14	65
98	0
64	0
112	0
74	0
75	0
110	0
118	0
51	0
87	0
190	8
10	107
71	0
7	0
59	0
3	38
70	0
13	4
29	0
8	5365
3	0
55	0
114	135
6	13
0	0
114	0
61	0
55	38
70	11
206	0
1086	240
199	0
50	0
22	0
0	1084
110	0
96	0
0	0
126	0
1709	0
0	6
41	30
1	12
156	0
70	0
5	354
192	7
34	0
2	0
46	0
150	0
155	0
237	0
224	0
129	0
165	0
48	0
59	0
26	0
2	99
165	1
7	1
66	0
183	0
156	0
81	0
4	0
0	0
0	8
43	0
7	92
142	0
35	0
128	0
62	0
100	0
251	0
674	0
106	0
79	43
84	0
84	0
283	0
8	0
28	0
105	0
99	0
159	0
7	77
59	0
159	0
98	0
96	0
90	175
191	0
367	0
219	0
1085	0
56	0
11	0
4	0
130	0
15	77
58	0
592	0
138	0
36	3
274	0
235	0
1	0
241	0
301	0
23	0
79	0
91	0
64	0
51	0
190	0
204	0
33	363
178	0
43	10
4	0
12	0
189	0
107	0
181	0
603	0
37	0
245	0
204	0
160	0
40	0
0	0
21	0
261	0
93	0
39	0
133	0
681	0
102	54
28	0
142	0
183	0
64	12
3	390
315	0
235	0
177	1984
65	0
4	0
148	0
53	16
62	0
60	0
195	0
65	0
49	0
382	0
0	0
154	0
67	0
489	0
0	1368
70	0
394	0
3	82
88	343
20	39
72	0
252	0
191	0
147	0
100	0
69	0
55	0
288	0
88	0
37	0
159	71
10	44
27	0
22	31
91	0
0	15
1	0
134	0
54	0
0	0
226	0
487	0
360	0
1326	1437
25447	0
292	0
10	0
129	0
155	0
39	0
66	0
1	15
0	77
204	0
19	0
30	0
66	0
3	0
5	92
165	0
1	1
1	4
82	0
37	8
75	0
583	0
153	0
0	501
52	0
7	40
1	45
277	0
106	0
39	0
122	0
16	6
46	0
8	26
10	10
45	0
16	52
944	0
58	0
54	0
100	0
91	0
473	0
27	0
105	0
51	0
140	0
0	2
174	0
6	186
6	6
95	0
777	0
52	0
144	0
636	0
114	0
39	0
612	0
77	2
88	0
98	0
531	0
51	0
40	2
65	0
888	0
15	0
26	0
137	0
309	0
13	280
1	0
140	61
28	0
108	352
60	0
6	22
11	0
0	3
1636	622
43	154
34	94
23	0
4	85
62	0
74	0
59	0
12	6630
1	9
418	150
14	0
1	6
76	0
409	0
252	1951
320	0
0	0
9	0
349	0
137	0
243	0
0	0
154	0
46	0
187	0
2	16
0	8
35	4
0	25
41	0
21	0
262	0
125	0
51	0
0	0
148	0
2892	0
109	0
211	0
106	0
81	0
50	0
0	10
2	0
461	0
3	1
79	0
170	0
56	113
0	3
247	0
0	8
78	0
104	0
10	0
215	0
73	0
100	0
110	5
28	7
225	0
40	0
197	0
526	0
64	11
1	13
159	0
192	2
36	0
181	0
0	1254
0	116
111	0
141	0
1	29
416	0
388	0
353	235
105	0
9	62
41	0
237	0
45	0
29	7
1678	0
0	0
26	0
1	2
60	0
47	0
110	0
68	0
49	0
1	3
327	105
26	0
144	0
76	0
8	85
3	0
1	0
874	2416
0	0
87	0
4	0
130	8
71	12
121	0
159	0
132	0
162	0
0	755
292	0
146	0
3	11
37	90
96	2
106	0
144	7
344	0
150	0
2258	34
106	53
1	6
255	113
52	0
128	0
154	0
162	0
8094	11504
69	0
147	0
76	0
166	0
29	0
33	0
83	0
121	0
130	0
1066	1437
252	0
70	0
102	0
19	4
0	0
119	0
58	15
0	6
150	0
6	0
31	0
111	0
1	39
1	14
60	0
68	0
503	0
4	0
59	0
14	8
180	0
469	0
0	8
134	0
73	12
233	0
176	0
45	0
24	0
83	0
1	7
62	6
57	0
25	0
64	0
2	14
100	0
9	0
122	0
0	55
104	0
74	0
54	0
76	0
0	81
7	1217
27	0
121	1400
233	0
19	16
95	0
146	1
74	0
62	0
25	0
64	0
540	0
116	90
122	0
16	45
362	0
185	0
229	0
81	0
167	0
57	0
168	0
178	871
71	0
266	0
947	139
41	0
87	0
9	7
92	0
44	0
158	0
246	0
77	0
50	0
88	2
421	0
362	0
13	1
172	0
124	0
9	214
0	5
31	0
18	0
100	0
46	0
21	0
143	0
53	0
57	0
356	0
81	0
417	37
84	11
242	0
52	0
82	0
381	0
161	0
126	0
112	0
259	0
46	0
146	0
147	0
105	26
230	0
197	0
0	51
14	0
0	0
324	0
137	0
79	0
297	0
156	0
1831	68
29	86
173	0
25	0
25	0
0	0
5	0
51	0
209	38
17	0
183	0
1	3
73	0
66	0
6	1
108	0
132	0
20	4
254	0
281	0
5	0
184	0
45	5
72	0
111	0
8	0
2	0
100	0
42	0
52	0
33	0
1	2
4	0
11	63
124	0
0	17
191	20
37	0
0	6
1092	387
85	0
6	15
2	0
64	0
162	0
77	0
76	0
1	8
0	4
29	0
254	0
18	0
145	0
85	0
450	0
649	0
77	0
76	0
209	0
203	0
50	3279
150	0
8	0
551	65
87	0
117	0
140	0
2223	0
58	0
189	0
678	0
5	0
250	104
162	0
39	0
201	0
2	97
229	0
85	0
125	0
82	0
69	0
75	0
55	0
5	4815
18	0
139	0
259	0
60	0
258	0
190	129
19	0
99	0
111	0
41	0
175	0
311	5
230	0
311	0
73	0
373	0
387	3
116	0
79	0
173	0
228	0
496	0
25	0
210	0
87	0
59	0
0	36
390	0
236	0
678	1
163	0
3	0
154	0
1356	0
84	6
114	0
448	2110
0	42
4	53
2	3
93	0
5	0
37	0
302	1
9	112
45	0
425	0
153	0
96	0
0	0
53	0
7	60
185	0
2	0
43	0
58	26
325	0
55	0
1528	0
0	0
847	68
87	0
13	7
66	24
34	0
29	0
51	0
18	0
348	0
1	0
57	0
543	0
206	0
390	0
3	66
110	0
112	0
55	0
73	17
8	0
48	74
79	0
609	0
51	0
11	35
364	0
69	0
60	2
143	0
72	0
87	0
196	0
276	0
91	0
37	0
1116	0
345	0
8	820
132	0
73	0
130	0
216	0
93	0
612	0
2	0
16	0
0	63
132	4421
153	0
265	0
39	0
202	0
378	171
226	0
169	0
75	0
37	0
53	0
26	0
144	0
105	0
80	0
52	5
9	114
62	0
97	0
60	0
168	0
254	277
93	0
108	1217
252	0
2	16
139	0
99	0
239	0
74	0
5	37
0	32
509	0
1414	0
38	0
37	5
145	0
0	2
19	31
123	0
224	0
94	0
44	0
46	0
310	0
17	30
21	12
206	0
7	0
1	96
82	0
9	88
19	0
64	0
165	43
0	0
677	0
146	0
65	0
61	0
49	0
10	4
242	0
68	0
0	4
1	6
17	0
191	0
65	0
134	0
100	0
588	0
225	0
568	0
33	0
2	15
0	28
883	624
67	0
157	0
95	78
75	0
47	0
93	0
0	0
1652	0
104	0
0	6519
123	0
207	0
24	0
64	0
447	0
88	0
2	87
327	0
0	0
87	0
433	0
98	0
153	0
192	0
34	0
456	0
221	0
346	0
79	0
91	0
30	0
41	0
4697	0
168	0
27	0
1022	0
369	0
2	14
285	240
330	0
173	0
170	0
0	88
36	0
40	0
84	0
235	0
934	2261
0	0
159	0
107	0
165	0
37	0
181	0
12	42
64	0
22	0
14	0
156	0
35	0
21	0
43	0
83	0
0	46
0	1356
74	0
217	0
429	0
0	703
95	0
19500	5666
480	0
3	54
595	11504
199	0
452	0
58	0
2	0
64	0
81	0
17	45
74	0
53	0
628	224
0	30
1	0
146	0
222	149
107	0
99	0
1070	0
40	0
29	0
4	0
201	0
38	363
230	0
56	0
6	0
8	18
3	4
0	0
147	0
131	0
124	2
381	0
54	0
73	0
52	81
13	32
0	5410
199	11
174	0
159	0
121	0
241	0
63	0
577	1984
6	12
8	24
385	0
78	0
0	6466
47	0
60	71
689	0
37	0
261	0
535	0
0	29
68	0
364	15
48	0
762	0
3	0
224	0
3	0
70	0
7	0
213	0
170	0
58	0
174	0
104	0
123	0
203	46
80	0
0	205
1	24
339	18
0	15
684	160
124	0
4	0
181	0
90	0
177	0
3	15
101	0
380	0
150	0
31	0
95	48
30	0
1	2
123	0
288	0
0	149
713	110
0	134
126	0
141	0
1419	0
226	0
1	246
211	0
5	0
148	0
34	0
82	0
206	0
407	0
57	0
134	0
10	0
860	0
89	0
838	0
95	0
63	0
182	0
6	46
89	0
1	24
33	0
136	81
499	9
554	0
99	0
4	0
3612	14310
1	2
56	0
41	0
66	0
8	0
43	0
62	0
148	0
2	35
205	0
96	0
168	0
1	8
445	0
109	0
215	0
4	0
116	0
795	771
56	0
57	0
7	0
451	0
295	0
77	0
45	0
126	0
50	0
88	0
125	0
358	0
26	69
125	0
77	0
4	0
362	154
65	199
528	0
35	0
76	2496
1566	0
7	0
478	0
37	0
47	0
16	0
16	29
244	0
716	0
112	0
2	22
50	0
116	1562
444	0
205	0
263	179
126	0
0	8
69	0
0	44
3	0
115	0
93	20
2	0
38	0
221	0
235	9
1	0
532	0
225	0
32	0
411	0
0	0
374	0
1	0
61	0
172	0
134	0
35	0
345	0
443	0
0	246
592	0
291	0
0	1
139	0
1747	816
208	0
77	0
23	0
8	0
0	1305
237	0
29	0
57	0
164	0
8	0
116	0
32	0
138	0
20	97
74	0
23	12
10	13
70	0
98	0
176	0
24	3
326	0
397	0
213	0
0	207
32	0
17	0
0	243
276	0
133	0
44	0
141	0
171	0
106	0
20	0
49	4
158	0
776	0
50	0
233	0
81	128
62	0
486	0
81	0
161	0
336	0
73	19
158	171
201	0
42	0
571	0
80	0
93	0
47	0
260	0
82	38
82	0
3	5
171	14
350	0
49	0
150	0
573	0
56	0
27	0
83	0
94	42
45	0
1187	941
50	0
254	0
28	0
154	0
227	35
21	0
0	102
809	0
75	0
1066	0
246	0
267	0
146	0
163	0
123	0
66	60
136	0
26	0
360	0
2	0
47	0
51	0
1654	120
1467	0
0	48
49	0
292	584
241	0
39	0
134	0
22	0
6	17
23	0
441	609
109	217
116	23
140	0
646	0
0	0
7	0
1	217
439	18
58	0
458	508
67	0
1	21
37	0
273	30
9	3
50	0
91	0
394	0
68	0
0	3
0	50
163	0
59	0
186	0
249	0
48	0
293	0
68	50
25	32
94	0
9	2
54	0
34	0
189	0
21	169
74	0
86	0
125	0
57	0
32	0
169	0
346	2
0	90
217	0
1	0
78	1
113	0
65	0
819	0
27	0
85	0
47	0
29	0
0	0
0	156
140	0
121	0
46	0
72	10
239	0
490	0
508	0
46	0
24	0
26	0
322	0
87	0
59	0
152	0
300	0
892	1214
113	0
9	31
58	0
183	0
143	0
99	0
165	0
36	0
38	0
0	52
172	0
1007	0
79	0
3	46
89	0
60	0
155	0
626	0
0	0
0	0
11	74
32	0
0	0
24	0
7	0
62	0
232	0
122	101
13	0
808	983
71	49
166	0
155	0
37	0
97	0
0	2
4	0
220	0
7	59
69	0
134	0
18	0
186	0
0	80
49	0
116	0
603	0
0	4
190	0
1	41
98	0
9	0
44	0
190	3176
47	0
211	0
7	18
781	0
49	0
57	6746
2	58
58	0
91	3
17	45
224	0
4	74
221	0
193	0
71	0
69	0
259	0
22	0
538	0
84	0
117	0
262	0
39	0
6	9
1	29
80	0
257	0
46	0
1103	360
222	0
65	0
182	215
55	0
19	9
428	0
901	38
500	0
99	0
108	0
91	49
89	0
37	0
175	0
1119	0
6	0
0	4
79	0
24	0
445	0
941	0
28	0
471	0
0	7
184	0
160	0
1	3
21	0
381	0
275	0
2	1
363	0
5	0
402	0
282	0
0	0
31	0
55	0
418	0
53	868
64	0
65	0
2	123
242	0
400	0
76	0
46	23
123	0
1	1
203	0
267	0
0	0
130	0
34	0
12	41
46	0
0	9
217	0
142	0
272	0
0	70
265	0
90	0
956	0
7	56
1193	624
87	0
66	0
205	0
176	0
74	0
43	0
91	0
0	0
30	0
72	0
3	0
2	18
84	0
33	0
43	32
338	0
0	8
476	0
182	0
145	0
72	0
10	0
58	0
539	0
11	0
4	0
1	0
0	3
37	0
212	0
5	0
22	600
129	0
12	0
472	0
111	0
65	0
380	76
35	0
91	0
46	0
103	0
110	0
4	0
301	0
20	0
0	0
68	0
41	0
37	0
3057	1427
85	0
198	0
632	0
39	0
227	0
55	0
62	0
223	0
138	0
63	0
142	0
2075	0
52	0
502	104
54	0
12	0
131	0
22	0
131	0
93	0
41	0
34	0
91	74
44	10
166	5
2882	0
295	0
136	0
81	0
10	0
14	0
446	0
39	0
39	0
0	0
90	0
21	0
0	1289
76	0
1003	0
103	0
185	0
124	0
1	2
72	0
270	0
96	0
14	5
0	0
124	0
83	0
433	0
463	0
35	0
77	0
5	235
0	6
197	0
17	0
90	0
14	0
218	107
37	0
108	0
0	112
275	1209
35	0
483	0
100	0
81	0
74	0
105	0
10	0
115	0
481	0
1369	1
40	0
257	0
127	0
92	0
38	0
116	0
69	0
249	0
172	0
39	0
32	0
112	0
50	0
294	0
41	0
780	0
217	0
0	0
118	0
1	0
5	0
3	0
67	0
276	0
75	0
608	0
273	0
135	0
63	9
266	0
141	0
359	0
15	0
226	0
390	0
77	0
511	0
13	0
2	0
15	133
66	0
1	44
669	0
745	0
32	0
208	0
117	0
63	0
119	0
398	0
6	33
97	1
0	162
1	0
43	0
130	0
182	34
446	0
11	2
37	0
94	0
42	0
23	301
32	0
135	0
73	0
102	0
1290	1
62	0
21	12
49	0
320	0
696	1465
0	5
20	12
6	0
259	151
2	0
111	0
124	0
66	0
48	15
151	0
64	0
710	1275
238	4090
865	560
111	0
475	0
82	0
2535	0
40	0
0	12
46	0
71	0
93	0
24	0
200	0
91	0
846	160
9	28
1	0
60	0
43	0
3	0
274	0
17	0
153	0
39	0
200	0
136	0
45	0
8	0
598	0
198	0
36	0
324	0
0	1
219	0
252	6
24	0
40	0
41	37
58	0
80	0
59	0
64	0
114	0
141	0
77	0
5	0
0	88
122	0
90	0
0	0
0	1256
542	0
376	0
155	0
99	0
0	0
228	0
55	0
3	2
35	0
44	0
217	0
100	2
986	0
104	0
33	0
101	0
75	0
50	0
34	0
542	0
0	1
90	0
0	0
172	0
323	0
111	0
766	689
46	0
163	0
904	0
47	0
217	0
68	0
103	0
47	0
66	0
15	0
6	110
372	0
286	0
256	0
95	0
236	0
40	0
0	115
62	0
50	0
61	0
103	0
70	0
160	0
219	0
54	0
4	37
9	292
107	0
752	0
394	0
13	3
191	207
124	12
304	0
706	0
67	0
184	0
15	0
31	0
497	0
92	0
42	0
234	0
12	0
71	0
69	0
32	74
55	0
0	5391
318	0
135	0
3	5
63	20
1	0
103	0
1	18
618	0
49	0
3452	7712
103	0
350	0
170	0
31	0
105	0
15	0
58	0
18	0
281	0
604	47
299	0
85	0
31	0
23	0
255	0
76	0
0	50
0	137
1	0
73	0
5	0
98	0
1	0
92	0
170	0
62	18
52	0
113	0
158	0
138	261
123	0
5	0
33	0
113	0
200	0
27	0
3	59
159	227
168	0
98	0
210	0
88	0
149	0
55	0
244	4
6	0
204	0
0	3
31	0
29	0
605	0
197	0
89	0
3	30
162	0
101	0
95	0
25	0
199	0
64	0
74	24
47	0
5	6
82	0
103	0
31	0
31	0
79	37
524	0
0	15
27	20
41	0
0	0
58	0
60	0
202	0
131	0
6	31
153	0
336	0
37	0
0	186
215	0
226	0
59	0
1	0
196	0
65	0
10	11
0	15
174	0
113	0
188	0
58	0
29	0
195	0
3	0
320	0
2	0
224	0
10	30
17	0
170	8
30	0
7	0
0	27
101	0
281	0
351	0
0	51
0	0
473	0
98	0
92	0
35	0
72	8
60	0
64	0
0	0
820	0
38	0
40	0
0	4
64	0
90	0
0	1
13	6
62	0
54	0
219	0
177	0
257	0
0	488
191	0
44	0
120	0
243	0
35	0
48	0
228	0
34	0
22	13
101	0
385	0
148	0
171	0
85	0
182	0
0	7
12	0
1	6
54	0
574	0
45	0
164	0
297	0
547	0
332	0
91	0
68	0
111	0
0	4
12	0
2	2
492	0
1256	0
66	0
326	0
59	0
133	0
31	0
86	0
854	0
342	0
17	608
41	3
30	46
78	0
1	26
43	0
221	0
0	17
66	0
119	0
160	0
79	0
148	0
58	0
496	14
75	0
10	0
11	0
0	9
10	106
1072	0
203	0
246	0
373	0
200	0
88	13
40	0
114	0
266	0
173	0
31	0
111	106
3	0
2	45
42	0
113	0
379	0
127	0
0	6
126	0
587	0
55	0
54	0
73	0
88	0
109	0
41	0
151	0
499	162
5	62
6	53
33	0
997	0
5	0
134	0
39	3
1	1316
329	508
119	0
21	119
700	81
188	0
4	92
8	0
142	0
156	0
110	0
4	56
100	0
300	0
193	0
183	124
151	0
133	0
122	0
1	0
136	0
70	0
106	0
198	0
4	0
152	0
58	0
306	0
89	0
100	0
194	0
872	0
0	6
40	0
199	0
1	83
130	0
99	0
126	0
161	0
48	0
58	0
16	11
291	0
8	0
9	0
75	0
36	94
100	0
221	0
0	0
136	0
74	0
1373	567
176	0
29	0
161	0
132	0
0	2
76	0
177	0
337	0
114	0
84	0
886	1205
567	0
4	2
76	0
31	112
50	0
87	0
0	76
347	77
55	0
96	0
107	0
7	0
15	25
92	0
559	108
7	0
321	2726
13	0
1246	119
1	44
66	0
77	0
114	31
11	32
190	0
70	0
312	0
2	0
246	0
1	2
825	0
5	16
63	0
14	0
7	0
201	0
234	8
596	0
201	0
298	134
6	0
120	0
123	0
2125	168
89	0
3	0
410	0
3962	0
18	0
103	0
173	0
13	6
39	0
297	0
85	0
211	0
126	0
50	0
117	0
160	0
130	0
216	0
10	0
69	54
0	0
256	0
11	63
111	0
0	0
210	0
421	0
0	2
5	13
101	0
4	0
97	0
390	0
58	0
43	0
105	0
24	0
0	0
78	0
297	0
109	0
139	1
38	41
141	0
165	0
264	0
322	0
217	0
149	0
45	0
74	0
85	0
9	0
27	0
0	12
11	34
0	0
252	18
550	49
112	0
10	0
557	3
27	0
120	0
53	0
79	0
0	11
278	0
46	0
49	0
26	12
44	0
165	0
58	0
0	43
100	0
65	0
69	0
112	0
10	10
132	0
108	0
31	0
61	0
335	0
19	0
247	0
45	0
6	0
455	0
49	0
0	0
6447	0
69	0
127	6
130	0
81	1
210	0
0	2
988	0
141	0
110	0
134	0
62	0
68	0
55	0
219	0
8	0
0	3
863	128
347	0
112	0
209	0
1215	0
347	41
55	0
19	0
134	0
257	0
115	0
44	0
165	0
191	0
65	0
87	0
36	0
542	0
812	0
28	0
60	0
38	0
44	0
150	0
215	0
118	0
28	12
101	0
282	0
1	8
513	0
202	0
246	4862
103	0
39	0
197	0
60	0
149	0
88	0
35	0
2628	0
1	0
0	18
299	0
9	0
56	0
69	0
880	0
49	0
357	60
232	0
4	47
588	0
412	0
347	0
116	0
95	0
75	0
311	0
187	0
2	11
62	0
371	0
133	0
102	0
691	604
73	0
72	0
88	0
420	0
0	0
91	0
174	0
213	0
6	0
71	0
84	0
21	0
58	24
5266	0
339	0
3	14
114	0
212	0
50	0
13	12
0	0
504	0
35	0
3	0
51	0
75	0
37	0
28	0
80	0
201	0
0	0
142	0
101	0
57	0
425	0
51	0
103	0
98	0
210	0
199	0
72	0
2	9
98	0
86	12
12881	31754
158	0
24	0
194	0
1	0
8	0
89	0
13	0
0	269
337	0
105	0
101	0
26	0
0	1858
20	0
209	0
107	0
1	17
115	0
48	0
626	0
39	0
154	0
259	19
257	0
59	0
33	0
38	60
61	78
140	0
183	0
0	9
34	0
0	3
14	10
359	0
3	150
63	0
60	0
34	0
43	0
7	0
64	0
72	0
357	0
54	0
151	0
310	0
433	0
149	0
310	0
121	0
19	12
52	0
26	0
186	0
64	2636
36	0
0	123
137	0
122	0
93	0
374	0
226	0
0	11
408	4090
2	10
221	0
40	263
52	0
156	0
44	0
53	0
0	22
25	0
32	0
75	0
1	0
38	6
205	0
53	0
9	4997
4	0
91	0
570	0
43	0
176	0
37	0
57	0
6	0
112	0
0	31
151	0
326	0
24	46
2	52
993	1645
164	0
24	0
2273	0
115	0
126	0
29	0
79	0
68	0
658	0
0	14
370	0
97	0
61	0
57	0
198	0
56	28
184	0
79	0
16	0
118	0
140	0
378	0
444	0
237	0
1	0
92	0
152	0
96	0
74	2496
101	0
85	0
162	0
410	0
218	5
90	0
143	0
171	0
85	0
128	0
4406	0
97	0
72	0
153	0
69	0
30	0
175	0
6	0
152	9
15	0
239	0
159	0
137	0
0	1
79	87
6	0
85	1
94	0
97	0
4	0
4368	98
17	0
300	0
0	73
0	45
76	0
4619	0
164	0
82	0
114	0
54	0
181	0
259	0
0	28
20	0
116	13
72	0
325	49
93	0
540	0
38	0
83	0
166	0
592	0
22	0
8	0
0	37
0	0
23	106
152	0
55	0
172	0
42	0
139	0
121	0
5	0
61	67
124	0
87	0
65	0
7	0
1	1640
494	0
